# Lines starting with '#''' are comments. Comment lines must form a continuous        
# block at the beginning of this file.             
# The last comment line is not really a comment. It must contain the names of     
# the variables that are used in the code.            
# The data has to start in the following line.           
#                    
# List of variables:                 
# TS: timestep                  
# OHair1: OH-readical conc. based factor to multiply with avg. degradation rate in upper air      
# OHair2: OH-readical conc. based factor to multiply with avg. degradation rate in lower air      
# Based on data from:                
# Spivakovsky  C. M.  Logan J. A.  Montzka S. A.  Balkanski Y. J.  Foreman-Fowler M. 
# Jones D. B. A.  Horowitz L.W.  Fusco A. C.  Brenninkmeijer C. A. M.  Prather M. J.
# Wofsy S. C.  McElroy M. B.  2000  Three-dimensional climatological distribution of      
# tropospheric OH: Update and evaluation. Journal of geophysical research  Vol. 105        
# No. D7  pp 8931-8980.               
#                    
# precip: monthly average precipitation [m/h]               
# stwet: average length of rain events [h]             
# stdry: average length of dry spells [h]             
# tair1: temperature upper air [K]               
# tair2: temperature lower air [K]               
# tocean: temperature ocean surface [K]               
# tland: temperature land surface [K]               
# h1: Average upper air compartment height [m]             
# h2: Average lower air compartment height [m]             
# h5: Average ocean compartment depth [m]              
# runoffwater: water runoff                 
# tspe: time since plowing event [month]              
# perc8: percentage of ocean covered by Sea Ice [-]           
#                    
#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 tocean tland h1 h2 h5 mixing12 mixing21 runoff6water tspe perc8  
242 4 0.0733604016 0.0182485836 0.0710027481 13.0402438094 57.9940100755 244.9078186035 268.2309356689 273.4442672729 -999.99 5165.3358398438 1165.8064086914 114.7113697052 2 6.316811038 0 8760 0.0228900844  
242 5 0.0229547348 0.0060636175 0.0809884771 13.9791283724 61.8652157628 243.1905166626 265.768460083 272.474647522 -999.99 5122.3925292969 1154.8707824707 126.2549228668 2 6.093987071 0 730 0.138335096  
242 6 0.0108664684 0.0043607408 0.085388707 14.1513462506 61.7394519023 242.4210510254 264.1359115601 271.8671325684 -999.99 5093.2782226563 1147.6997070313 136.7537261963 2 5.323783435 0 1460 0.3511188133  
242 7 0.0193217873 0.0087669302 0.0699509207 13.7548018113 68.9205100328 242.2786804199 262.7773727417 271.5681228638 -999.99 5079.7936523438 1141.8193603516 146.1068061829 2 4.707478328 0 2190 0.530955143  
242 8 0.0607751114 0.0294180903 0.0831683661 14.5323749521 65.6148198186 242.1002754211 262.0590713501 271.3972198486 -999.99 5071.0959472656 1139.0212402344 155.4177276611 2 4.147685829 0 2920 0.6570182304  
242 9 0.1721024335 0.1047507717 0.0740299381 14.5686007791 77.6214647484 241.9752883911 261.9519683838 271.34165802 -999.99 5076.0257324219 1138.3588134766 156.9622634888 2.039658748 3.765778496 0 3650 0.6636123714  
242 10 0.3792819003 0.2818936878 0.0691752832 14.0470469158 84.9860224947 243.2627403259 264.0441574097 271.3825164795 -999.99 5109.9968261719 1147.4185668945 151.279119873 2 4.550460004 0 4380 0.5705481586  
242 11 0.6185280118 0.4730246254 0.0685333271 13.4138574696 77.9581848243 245.2563865662 266.9282958984 271.7803573608 -999.99 5163.1102539063 1159.9904174805 141.8421836853 2.049562655 4.373082143 0 5110 0.389492022  
242 12 0.7493627563 0.3299609736 0.0698636896 13.3547367356 78.8308800188 247.9846694946 269.5888885498 272.999621582 -999.99 5223.4651611328 1171.8172485352 129.3055858612 2 4.163507169 0 5840 0.1898819991  
243 1 0.6428889848 0.1938563662 0.0492717253 11.3402128761 142.9157211141 249.7748085022 271.2053451538 274.9448699951 262.9436477661 5265.7415283203 1178.9847351074 81.6438285828 2 4.832499044 0 6570 0.0363221411  
243 2 0.4305220958 0.1089674644 0.061795786 11.1239061661 118.2157704326 249.0118545532 271.3240081787 275.5590087891 261.0077415466 5252.2959472656 1179.4617004395 75.6226902008 2 5.997990379 0 7300 0.0061590603  
243 3 0.1984741973 0.0553239889 0.0875085383 12.3246935667 77.9422848836 247.0706863403 270.438293457 275.0193817139 257.4201377869 5211.1157470703 1175.5110412598 84.9653751373 2 7.092668389 0 8030 0.0041047448  
243 4 0.0734324096 0.0176867138 0.0746254149 11.771317274 65.5609132096 245.3814590454 269.211946106 274.0003250122 255.1967712402 5172.1868164063 1170.0161804199 103.0940341949 2 8.42795762 0 8760 0.0120739533  
243 5 0.023425338 0.0059036633 0.0729759328 12.5626251624 75.2407234342 243.8035171509 267.6366226196 273.0495651245 254.810925293 5131.4506835938 1162.9785949707 121.985559845 2 8.503765298 0 730 0.0537609563  
243 6 0.0111839836 0.0043086843 0.0656044329 12.8781729721 81.2184537074 242.8504165649 266.1133453369 272.4124954224 252.8529182434 5098.8542236328 1156.2680603027 135.5109939575 2 8.584809148 0 1460 0.1712266264  
243 7 0.0191919925 0.0084755896 0.0657547924 13.5208346533 79.1568077471 242.0331375122 263.517175293 272.0074935913 247.4183029175 5076.047265625 1144.9138854981 149.8688186646 2 5.976438377 0 2190 0.3513242531  
243 8 0.060296434 0.0293689333 0.0723939091 13.7143344084 76.5216908628 241.5219139099 261.5819961548 271.6868988037 244.4328948975 5061.8496337891 1136.7479248047 161.3736076355 2 5.471248751 0 2920 0.5926006603  
243 9 0.1755673771 0.1120431113 0.0721896156 13.9851143418 83.1741334748 242.1058914185 262.2426528931 271.506842041 245.9907493591 5077.7423828125 1139.6772583008 163.6570854187 2 6.294916067 0 3650 0.7010740471  
