#m: month      
#r cell number     
#c1 compartmet1 lower_gas     
#c2 compartmet2 lower_fine_particle     
#c3 compartmet3 lower_coarse_particle     
#e total emission in this cell (mol/h) 
#rgp: ratio of gas to particle  
#rfcp ratio of fine to coarse particle 
#m r c1 c2 c3 e(mol/h) rgp rfcp
1 671 2 9 10 0.0300929788 1 0
1 672 2 9 10 0.0505351542 1 0
1 673 2 9 10 0.0002576874 1 0
1 674 2 9 10 0.0047188543 1 0
1 675 2 9 10 0.0190843742 1 0
1 676 2 9 10 0.0433542365 1 0
1 677 2 9 10 0.059029901 1 0
1 678 2 9 10 0.0560126611 1 0
1 679 2 9 10 0.2679139653 1 0
1 680 2 9 10 0.6947339216 1 0
1 681 2 9 10 5.0541449759 1 0
1 682 2 9 10 1.6975931524 1 0
1 683 2 9 10 0.108804919 1 0
1 684 2 9 10 0.2877810309 1 0
1 685 2 9 10 0.1871144598 1 0
1 686 2 9 10 0.1810224188 1 0
1 687 2 9 10 0.2100502844 1 0
1 688 2 9 10 0.2741983803 1 0
1 689 2 9 10 0.9905696291 1 0
1 690 2 9 10 0.5260499802 1 0
1 691 2 9 10 0.2032764109 1 0
1 692 2 9 10 0.0222488455 1 0
1 693 2 9 10 0.0502221607 1 0
1 694 2 9 10 0.0237030387 1 0
1 695 2 9 10 0.0323063209 1 0
1 696 2 9 10 0.0760319644 1 0
1 698 2 9 10 0.0030643823 1 0
1 699 2 9 10 0.0109814208 1 0
1 700 2 9 10 0.0237511052 1 0
1 701 2 9 10 0.0072653227 1 0
1 702 2 9 10 0.0288453908 1 0
1 703 2 9 10 0.0264236202 1 0
1 706 2 9 10 0.0255176768 1 0
1 707 2 9 10 0.0269598236 1 0
1 708 2 9 10 0.0043264151 1 0
1 711 2 9 10 0.0004658803 1 0
1 712 2 9 10 0.0013976408 1 0
1 714 2 9 10 0.5381465067 1 0
1 715 2 9 10 0.6044551686 1 0
1 716 2 9 10 0.1989251226 1 0
1 717 2 9 10 0.102750371 1 0
1 718 2 9 10 0.0758666177 1 0
1 719 2 9 10 0.1629158504 1 0
1 720 2 9 10 0.3638982851 1 0
1 721 2 9 10 3.9152504651 1 0
1 722 2 9 10 7.7368440338 1 0
1 723 2 9 10 13.5392450883 1 0
1 724 2 9 10 21.3224509312 1 0
1 725 2 9 10 23.1009555286 1 0
1 726 2 9 10 24.3906543122 1 0
1 727 2 9 10 22.6405850297 1 0
1 728 2 9 10 17.8507261024 1 0
1 729 2 9 10 8.5442267938 1 0
1 730 2 9 10 4.2268547982 1 0
1 731 2 9 10 1.9236854644 1 0
1 732 2 9 10 1.634726345 1 0
1 733 2 9 10 1.6934451893 1 0
1 734 2 9 10 1.6518641383 1 0
1 735 2 9 10 2.349356895 1 0
1 736 2 9 10 3.785923999 1 0
1 737 2 9 10 2.9636562606 1 0
1 738 2 9 10 3.1043379714 1 0
1 739 2 9 10 6.5237819572 1 0
1 740 2 9 10 13.2219898366 1 0
1 741 2 9 10 18.6551525823 1 0
1 742 2 9 10 7.4276052644 1 0
1 743 2 9 10 1.223170073 1 0
1 744 2 9 10 0.0418425631 1 0
