#m: month      
#r cell number     
#c1 compartmet1 lower_gas     
#c2 compartmet2 lower_fine_particle     
#c3 compartmet3 lower_coarse_particle     
#e total emission in this cell (mol/h) 
#rgp: ratio of gas to particle  
#rfcp ratio of fine to coarse particle 
#m r c1 c2 c3 e(mol/h) rgp rfcp
2 151 2 9 10 10.2923095107 1 0
2 152 2 9 10 3.1369976143 1 0
2 153 2 9 10 3.4698036722 1 0
2 154 2 9 10 22.5567986711 1 0
2 155 2 9 10 0.006594474 1 0
2 156 2 9 10 0.0010230679 1 0
2 157 2 9 10 17.9961352552 1 0
2 158 2 9 10 1.3805252151 1 0
2 159 2 9 10 3.7964455557 1 0
2 160 2 9 10 0.0389505454 1 0
2 161 2 9 10 0.0955274349 1 0
2 162 2 9 10 0.0123261201 1 0
2 163 2 9 10 6.8409978223 1 0
2 164 2 9 10 10.4772023648 1 0
2 165 2 9 10 1.1709815995 1 0
2 166 2 9 10 1.5962324654 1 0
2 167 2 9 10 0.0403064047 1 0
2 168 2 9 10 0.0868991557 1 0
2 169 2 9 10 0.0844339176 1 0
2 170 2 9 10 0.0083817608 1 0
2 171 2 9 10 0.0589804966 1 0
2 175 2 9 10 0.1047720236 1 0
2 176 2 9 10 11.709815995 1 0
2 177 2 9 10 59.2270204397 1 0
2 178 2 9 10 27.7337769973 1 0
2 181 2 9 10 0.2150907789 1 0
2 182 2 9 10 23.2963646905 1 0
2 183 2 9 10 6.1445734688 1 0
2 184 2 9 10 1.1093506482 1 0
2 188 2 9 10 2.3296364691 1 0
2 189 2 9 10 1.3065686131 1 0
2 190 2 9 10 2.5638335445 1 0
2 191 2 9 10 5.2817428483 1 0
2 192 2 9 10 0.4862654538 1 0
2 193 2 9 10 0.0027610504 1 0
2 200 2 9 10 44.0658765661 1 0
2 201 2 9 10 35.7457574984 1 0
2 206 2 9 10 7.3340400363 1 0
2 207 2 9 10 0.4369609625 1 0
2 212 2 9 10 4.5853163362 1 0
2 213 2 9 10 0.3512944798 1 0
2 214 2 9 10 13.3738408879 1 0
2 215 2 9 10 8.1968679584 1 0
2 216 2 9 10 8.3201298611 1 0
2 224 2 9 10 46.0996925638 1 0
2 225 2 9 10 8.0119805011 1 0
2 238 2 9 10 0.1029230951 1 0
2 240 2 9 10 3.1554874394 1 0
3 25 2 9 10 0.3155487439 1 0
3 26 2 9 10 2.2926584379 1 0
3 27 2 9 10 17.1949382844 1 0
3 28 2 9 10 1.4729711024 1 0
3 29 2 9 10 2.6994210978 1 0
3 30 2 9 10 0.3556085925 1 0
3 31 2 9 10 0.1516112768 1 0
3 32 2 9 10 0.1688678353 1 0
3 33 2 9 10 0.2354289389 1 0
3 34 2 9 10 0.0050044046 1 0
3 35 2 9 10 3.9813367907 1 0
3 36 2 9 10 1.1401661238 1 0
3 37 2 9 10 71.4914718228 1 0
3 38 2 9 10 170.1004003359 1 0
3 39 2 9 10 36.0538960649 1 0
3 40 2 9 10 18.7973268292 1 0
3 41 2 9 10 42.0937077099 1 0
3 42 2 9 10 77.0382574441 1 0
3 43 2 9 10 1.226448916 1 0
3 44 2 9 10 1.2572643917 1 0
3 45 2 9 10 1.9598534593 1 0
3 46 2 9 10 0.5947354425 1 0
3 47 2 9 10 0.8813177472 1 0
3 48 2 9 10 0.3112344694 1 0
3 49 2 9 10 0.1534602054 1 0
3 50 2 9 10 0.9984160151 1 0
3 51 2 9 10 4.024477917 1 0
3 52 2 9 10 55.4675324075 1 0
3 53 2 9 10 125.726439171 1 0
3 54 2 9 10 91.8295778324 1 0
3 55 2 9 10 98.6089824807 1 0
3 56 2 9 10 108.4698807287 1 0
3 57 2 9 10 5.4851222894 1 0
3 58 2 9 10 0.0099225292 1 0
3 59 2 9 10 0.0025453432 1 0
3 60 2 9 10 131.8894803382 1 0
3 61 2 9 10 489.3470013549 1 0
3 62 2 9 10 219.4048915763 1 0
3 63 2 9 10 162.0884845958 1 0
3 64 2 9 10 97.3763634537 1 0
3 65 2 9 10 49.7975172641 1 0
3 66 2 9 10 33.9584545126 1 0
3 67 2 9 10 18.181033506 1 0
3 68 2 9 10 5.5837318116 1 0
3 69 2 9 10 16.0239556055 1 0
3 70 2 9 10 13.4971027906 1 0
3 71 2 9 10 0.9059695881 1 0
3 72 2 9 10 0.0017194938 1 0
3 74 2 9 10 0.0005207786 1 0
3 76 2 9 10 53.8651492595 1 0
3 77 2 9 10 181.8103350595 1 0
3 78 2 9 10 334.6541769532 1 0
3 79 2 9 10 788.8718598453 1 0
3 80 2 9 10 194.7526729399 1 0
3 81 2 9 10 0.0123877511 1 0
3 83 2 9 10 0.8011980501 1 0
3 84 2 9 10 110.3187553016 1 0
3 85 2 9 10 172.5656923574 1 0
3 86 2 9 10 69.6425972499 1 0
3 87 2 9 10 114.0166123825 1 0
3 88 2 9 10 93.0621968594 1 0
3 89 2 9 10 52.3860172207 1 0
3 90 2 9 10 16.3937467104 1 0
3 91 2 9 10 4.992078996 1 0
3 92 2 9 10 73.9567098767 1 0
3 93 2 9 10 212.6255408956 1 0
3 94 2 9 10 170.1004003359 1 0
3 97 2 9 10 0.0224951731 1 0
3 98 2 9 10 2.8596594126 1 0
3 101 2 9 10 9.5527434913 1 0
3 102 2 9 10 157.158008488 1 0
3 103 2 9 10 87.5154652056 1 0
3 104 2 9 10 16.0855865569 1 0
3 107 2 9 10 3.9628485846 1 0
3 108 2 9 10 1.4051775956 1 0
3 109 2 9 10 11.2167683842 1 0
3 110 2 9 10 14.5448235667 1 0
3 111 2 9 10 67.7936687095 1 0
3 112 2 9 10 130.6568613112 1 0
3 113 2 9 10 48.9347001355 1 0
3 114 2 9 10 54.6046990887 1 0
3 115 2 9 10 22.1870183598 1 0
3 116 2 9 10 36.8551038292 1 0
3 117 2 9 10 26.0081157563 1 0
3 118 2 9 10 0.1380525215 1 0
3 121 2 9 10 0.0070258907 1 0
3 126 2 9 10 2.8103557309 1 0
3 127 2 9 10 16.8867835277 1 0
3 128 2 9 10 53.2488343493 1 0
3 129 2 9 10 1.2449382014 1 0
3 131 2 9 10 0.2317310818 1 0
3 132 2 9 10 3.6793462084 1 0
3 133 2 9 10 72.1077813363 1 0
3 134 2 9 10 0.1781125319 1 0
3 135 2 9 10 3.611553781 1 0
3 136 2 9 10 0.9552743491 1 0
3 137 2 9 10 1.072372617 1 0
3 138 2 9 10 17.6879804984 1 0
3 139 2 9 10 44.3740313228 1 0
3 140 2 9 10 14.5448235667 1 0
3 141 2 9 10 5.7378091899 1 0
3 142 2 9 10 0.7580563842 1 0
3 143 2 9 10 0.0118330779 1 0
3 144 2 9 10 0.0278570281 1 0
3 145 2 9 10 0.0532488343 1 0
3 146 2 9 10 0.0089364394 1 0
3 147 2 9 10 0.0184891883 1 0
3 150 2 9 10 0.0014976235 1 0
3 151 2 9 10 10.2923095107 1 0
3 152 2 9 10 3.1369976143 1 0
3 153 2 9 10 3.4698036722 1 0
3 154 2 9 10 22.5567986711 1 0
3 155 2 9 10 0.006594474 1 0
3 156 2 9 10 0.0010230679 1 0
3 157 2 9 10 17.9961352552 1 0
3 158 2 9 10 1.3805252151 1 0
3 159 2 9 10 3.7964455557 1 0
3 160 2 9 10 0.0389505454 1 0
3 161 2 9 10 0.0955274349 1 0
3 162 2 9 10 0.0123261201 1 0
3 163 2 9 10 6.8409978223 1 0
3 164 2 9 10 10.4772023648 1 0
3 165 2 9 10 1.1709815995 1 0
3 166 2 9 10 1.5962324654 1 0
3 167 2 9 10 0.0403064047 1 0
3 168 2 9 10 0.0868991557 1 0
3 169 2 9 10 0.0844339176 1 0
3 170 2 9 10 0.0083817608 1 0
3 171 2 9 10 0.0589804966 1 0
3 175 2 9 10 0.1047720236 1 0
3 176 2 9 10 11.709815995 1 0
3 177 2 9 10 59.2270204397 1 0
3 178 2 9 10 27.7337769973 1 0
3 181 2 9 10 0.2150907789 1 0
3 182 2 9 10 23.2963646905 1 0
3 183 2 9 10 6.1445734688 1 0
3 184 2 9 10 1.1093506482 1 0
3 188 2 9 10 2.3296364691 1 0
3 189 2 9 10 1.3065686131 1 0
3 190 2 9 10 2.5638335445 1 0
3 191 2 9 10 5.2817428483 1 0
3 192 2 9 10 0.4862654538 1 0
3 193 2 9 10 0.0027610504 1 0
3 200 2 9 10 44.0658765661 1 0
3 201 2 9 10 35.7457574984 1 0
3 206 2 9 10 7.3340400363 1 0
3 207 2 9 10 0.4369609625 1 0
3 212 2 9 10 4.5853163362 1 0
3 213 2 9 10 0.3512944798 1 0
3 214 2 9 10 13.3738408879 1 0
3 215 2 9 10 8.1968679584 1 0
3 216 2 9 10 8.3201298611 1 0
3 224 2 9 10 46.0996925638 1 0
3 225 2 9 10 8.0119805011 1 0
3 238 2 9 10 0.1029230951 1 0
3 240 2 9 10 3.1554874394 1 0
4 25 2 9 10 0.3155487439 1 0
4 26 2 9 10 2.2926584379 1 0
4 27 2 9 10 17.1949382844 1 0
4 28 2 9 10 1.4729711024 1 0
4 29 2 9 10 2.6994210978 1 0
4 30 2 9 10 0.3556085925 1 0
4 31 2 9 10 0.1516112768 1 0
4 32 2 9 10 0.1688678353 1 0
4 33 2 9 10 0.2354289389 1 0
4 34 2 9 10 0.0050044046 1 0
4 35 2 9 10 3.9813367907 1 0
4 36 2 9 10 1.1401661238 1 0
4 37 2 9 10 71.4914718228 1 0
4 38 2 9 10 170.1004003359 1 0
4 39 2 9 10 36.0538960649 1 0
4 40 2 9 10 18.7973268292 1 0
4 41 2 9 10 42.0937077099 1 0
4 42 2 9 10 77.0382574441 1 0
4 43 2 9 10 1.226448916 1 0
4 44 2 9 10 1.2572643917 1 0
4 45 2 9 10 1.9598534593 1 0
4 46 2 9 10 0.5947354425 1 0
4 47 2 9 10 0.8813177472 1 0
4 48 2 9 10 0.3112344694 1 0
4 49 2 9 10 0.1534602054 1 0
4 50 2 9 10 0.9984160151 1 0
4 51 2 9 10 4.024477917 1 0
4 52 2 9 10 55.4675324075 1 0
4 53 2 9 10 125.726439171 1 0
4 54 2 9 10 91.8295778324 1 0
4 55 2 9 10 98.6089824807 1 0
4 56 2 9 10 108.4698807287 1 0
4 57 2 9 10 5.4851222894 1 0
4 58 2 9 10 0.0099225292 1 0
4 59 2 9 10 0.0025453432 1 0
4 60 2 9 10 131.8894803382 1 0
4 61 2 9 10 489.3470013549 1 0
4 62 2 9 10 219.4048915763 1 0
4 63 2 9 10 162.0884845958 1 0
4 64 2 9 10 97.3763634537 1 0
4 65 2 9 10 49.7975172641 1 0
4 66 2 9 10 33.9584545126 1 0
4 67 2 9 10 18.181033506 1 0
4 68 2 9 10 5.5837318116 1 0
4 69 2 9 10 16.0239556055 1 0
4 70 2 9 10 13.4971027906 1 0
4 71 2 9 10 0.9059695881 1 0
4 72 2 9 10 0.0017194938 1 0
4 74 2 9 10 0.0005207786 1 0
4 76 2 9 10 53.8651492595 1 0
4 77 2 9 10 181.8103350595 1 0
4 78 2 9 10 334.6541769532 1 0
4 79 2 9 10 788.8718598453 1 0
4 80 2 9 10 194.7526729399 1 0
4 81 2 9 10 0.0123877511 1 0
4 83 2 9 10 0.8011980501 1 0
4 84 2 9 10 110.3187553016 1 0
4 85 2 9 10 172.5656923574 1 0
4 86 2 9 10 69.6425972499 1 0
4 87 2 9 10 114.0166123825 1 0
4 88 2 9 10 93.0621968594 1 0
4 89 2 9 10 52.3860172207 1 0
4 90 2 9 10 16.3937467104 1 0
4 91 2 9 10 4.992078996 1 0
4 92 2 9 10 73.9567098767 1 0
4 93 2 9 10 212.6255408956 1 0
4 94 2 9 10 170.1004003359 1 0
4 97 2 9 10 0.0224951731 1 0
4 98 2 9 10 2.8596594126 1 0
4 101 2 9 10 9.5527434913 1 0
4 102 2 9 10 157.158008488 1 0
4 103 2 9 10 87.5154652056 1 0
4 104 2 9 10 16.0855865569 1 0
4 107 2 9 10 3.9628485846 1 0
4 108 2 9 10 1.4051775956 1 0
4 109 2 9 10 11.2167683842 1 0
4 110 2 9 10 14.5448235667 1 0
4 111 2 9 10 67.7936687095 1 0
4 112 2 9 10 130.6568613112 1 0
4 113 2 9 10 48.9347001355 1 0
4 114 2 9 10 54.6046990887 1 0
4 115 2 9 10 22.1870183598 1 0
4 116 2 9 10 36.8551038292 1 0
4 117 2 9 10 26.0081157563 1 0
4 118 2 9 10 0.1380525215 1 0
4 121 2 9 10 0.0070258907 1 0
4 126 2 9 10 2.8103557309 1 0
4 127 2 9 10 16.8867835277 1 0
4 128 2 9 10 53.2488343493 1 0
4 129 2 9 10 1.2449382014 1 0
4 131 2 9 10 0.2317310818 1 0
4 132 2 9 10 3.6793462084 1 0
4 133 2 9 10 72.1077813363 1 0
4 134 2 9 10 0.1781125319 1 0
4 135 2 9 10 3.611553781 1 0
4 136 2 9 10 0.9552743491 1 0
4 137 2 9 10 1.072372617 1 0
4 138 2 9 10 17.6879804984 1 0
4 139 2 9 10 44.3740313228 1 0
4 140 2 9 10 14.5448235667 1 0
4 141 2 9 10 5.7378091899 1 0
4 142 2 9 10 0.7580563842 1 0
4 143 2 9 10 0.0118330779 1 0
4 144 2 9 10 0.0278570281 1 0
4 145 2 9 10 0.0532488343 1 0
4 146 2 9 10 0.0089364394 1 0
4 147 2 9 10 0.0184891883 1 0
4 150 2 9 10 0.0014976235 1 0
4 151 2 9 10 10.2923095107 1 0
4 152 2 9 10 3.1369976143 1 0
4 153 2 9 10 3.4698036722 1 0
4 154 2 9 10 22.5567986711 1 0
4 155 2 9 10 0.006594474 1 0
4 156 2 9 10 0.0010230679 1 0
4 157 2 9 10 17.9961352552 1 0
4 158 2 9 10 1.3805252151 1 0
4 159 2 9 10 3.7964455557 1 0
4 160 2 9 10 0.0389505454 1 0
4 161 2 9 10 0.0955274349 1 0
4 162 2 9 10 0.0123261201 1 0
4 163 2 9 10 6.8409978223 1 0
4 164 2 9 10 10.4772023648 1 0
4 165 2 9 10 1.1709815995 1 0
4 166 2 9 10 1.5962324654 1 0
4 167 2 9 10 0.0403064047 1 0
4 168 2 9 10 0.0868991557 1 0
4 169 2 9 10 0.0844339176 1 0
4 170 2 9 10 0.0083817608 1 0
4 171 2 9 10 0.0589804966 1 0
4 175 2 9 10 0.1047720236 1 0
4 176 2 9 10 11.709815995 1 0
4 177 2 9 10 59.2270204397 1 0
4 178 2 9 10 27.7337769973 1 0
4 181 2 9 10 0.2150907789 1 0
4 182 2 9 10 23.2963646905 1 0
4 183 2 9 10 6.1445734688 1 0
4 184 2 9 10 1.1093506482 1 0
4 188 2 9 10 2.3296364691 1 0
4 189 2 9 10 1.3065686131 1 0
4 190 2 9 10 2.5638335445 1 0
4 191 2 9 10 5.2817428483 1 0
4 192 2 9 10 0.4862654538 1 0
4 193 2 9 10 0.0027610504 1 0
4 200 2 9 10 44.0658765661 1 0
4 201 2 9 10 35.7457574984 1 0
4 206 2 9 10 7.3340400363 1 0
4 207 2 9 10 0.4369609625 1 0
4 212 2 9 10 4.5853163362 1 0
4 213 2 9 10 0.3512944798 1 0
4 214 2 9 10 13.3738408879 1 0
4 215 2 9 10 8.1968679584 1 0
